央视频道,#genre#
CCTV1,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=cctv1
CCTV2,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=cctv2
CCTV3,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=cctv3
CCTV4,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=cctv4
CCTV5,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=cctv5
CCTV5+,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=cctv5p
CCTV6,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202
CCTV6,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=cctv6
CCTV7,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=cctv7
CCTV8,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=cctv8
CCTV9,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=cctv9
CCTV10,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=cctv10
CCTV11,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=cctv11
CCTV12,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=cctv12
CCTV13,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=cctv13
CCTV14,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=cctv14
CCTV15,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=cctv15
CCTV17,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=cctv17
CT4欧洲,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=cctv4o
CT4美洲,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=cctv4a
CGT纪录,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=cgtnjl
CGT西语,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=cgtne
CGT阿语,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=cgtna
CGT法语,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=cgtnf
CGT俄语,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=cgtnr
家庭影院,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=chcjt
动作电影,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=chcdz
发现之旅,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=fxzl
老故事台,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=lgs
中学生台,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=zxs
卫视频道#genre#
东方卫视,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=dfws
吉林卫视,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=jlws
青海卫视,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=qhws
陕西卫视,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=sxws
湖北卫视,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=hubws
江西卫视,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=jxws
江苏卫视,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=jsws
广东卫视,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=gdws
湾区卫视,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=dwqws
海南卫视,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=hinws
兵团卫视,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022606701/timeshift.m3u8?delay=0&cdn=5202
中国教育,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022823801/timeshift.m3u8?delay=0&cdn=5202
四海钓鱼,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=shdy
江苏教育,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=jsjy
山东教育,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=sdjy
游戏风云,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=yxfy
之江纪录,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=zjjl
杭州综合,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=hzzh
杭州明珠,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=hzmz
杭州生活,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=hzsh
杭州影视,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=hzys
杭州少体,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=hzse
嵊泗综合,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=ssxwzh
普陀电视,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=ptxwzh
高清大片,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=gqdp
经典电影,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=jdxgdy
军事大片,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=jsdp
热剧联播,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=rjlb
赛事经典,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=sszjd
体坛名汇,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=ttmlh
新片映厅,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=xpfyt
Y+剧场台,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=yjjc
AKTV,#genre#
28 AI 智慧賽馬,http://aktv.top/AKTV/live/aktv/28ai/AKTV.m3u8
Channel 5 HD,http://aktv.top/AKTV/live/aktv/channel5hd/AKTV.m3u8
